"We acknowledge the authors, originating and submitting laboratories of the sequences from GISAIDÕs EpiFluª Database on which this research is based. The list is detailed below."							
All submitters of data may be contacted directly via the GISAID website www.gisaid.org							
Segment ID	Segment	Country	Collection date	Isolate name	Originating Lab	Submitting Lab	Authors
EPI1301536	NS	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1301537	PA	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1301538	PB1	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1301539	PB2	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1301532	HA	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1301533	MP	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1301534	NA	Japan	2017-Oct-10	A/Japan/RGN0214/2017		Other Database Import	"Sitz,C.R.; Koster,B.L.; Balansay-Ames,M.S.; Graf,P.C.; Myers,C.A."
EPI1299041	NS	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1299043	NP	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1299176	MP	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1299151	PB2	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1299168	HA	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1299185	NA	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1299193	PA	Taiwan	2017-Aug-15	A/Linkou/0347/2017		Other Database Import	
EPI1271341	PA	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271342	PB2	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271343	PB1	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271340	MP	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271338	NP	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271339	NS	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271344	NA	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1271345	HA	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4043/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1270297	MP	Macao	2017-Aug-12	A/Macau/603824/2017	Laboratorio De Saude Publico	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1270295	NA	Macao	2017-Aug-12	A/Macau/603824/2017	Laboratorio De Saude Publico	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1269319	HA	Macao	2017-Aug-12	A/Macau/603824/2017	Laboratorio De Saude Publico	WHO Collaborating Centre for Reference and Research on Influenza	"Deng,Y-M; Iannello,P; Lau,H; Kaye,M; Todd,A; Spirason,N; Komadina,N."
EPI1259753	PA	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259754	PB2	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259755	PB1	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259750	NP	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259751	NS	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259752	MP	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259756	NA	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259757	HA	United States	2017-Aug-21	A/Louisiana/50/2017	Louisiana Department of Health and Hospitals	Centers for Disease Control and Prevention	
EPI1259170	PA	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259171	PB2	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259172	PB1	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259167	NP	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259168	NS	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259169	MP	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259173	NA	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259174	HA	"Lao, People's Democratic Republic"	2017-Oct-24	A/Laos/4179/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259162	PA	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259163	PB2	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259164	PB1	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259159	NP	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259160	NS	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259161	MP	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259165	NA	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1259166	HA	"Lao, People's Democratic Republic"	2017-Oct-02	A/Laos/3805/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1256390	NA	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256391	HA	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256387	PA	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256388	PB2	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256389	PB1	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256384	NP	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256385	NS	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1256386	MP	Brazil	2017-Aug-29	A/Brazil/1445/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1254933	NP	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254934	NS	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254935	MP	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254936	PA	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254937	PB2	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254938	PB1	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254939	NA	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254940	HA	United States	2017-Oct-03	A/Florida/113/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1253667	NP	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253668	NS	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253669	MP	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253670	PA	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253671	PB2	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253672	PB1	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253673	NA	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253674	HA	"Lao, People's Democratic Republic"	2017-Oct-26	A/Laos/4192/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253594	NP	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253595	NS	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253596	MP	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253600	NA	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253601	HA	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253597	PA	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253598	PB2	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253599	PB1	"Lao, People's Democratic Republic"	2017-Sep-18	A/Laos/3636/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253583	NP	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1253584	MP	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1253585	HA	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1271888	NS	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1271889	PA	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1271890	PB2	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1271892	PB1	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1271894	NA	India	2017-Sep-22	A/India/3862/2017	National Institute of Virology	Centers for Disease Control and Prevention	
EPI1253554	NS	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4077/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253555	MP	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4077/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253556	PA	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4077/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253557	PB1	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4077/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253558	NA	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4077/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253559	HA	"Lao, People's Democratic Republic"	2017-Oct-16	A/Laos/4077/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253550	PA	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253551	PB1	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253547	NP	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253548	NS	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253549	MP	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253552	NA	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253553	HA	"Lao, People's Democratic Republic"	2017-Oct-23	A/Laos/4135/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1253433	PA	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253434	PB2	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253435	PB1	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253430	NP	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253431	NS	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253432	MP	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253436	NA	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253437	HA	United States	2017-Oct-01	A/District Of Columbia/04/2017	DC Public Health Lab	Centers for Disease Control and Prevention	
EPI1253420	NA	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253421	HA	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253417	PA	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253418	PB2	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253419	PB1	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253414	NP	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253415	NS	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253416	MP	Brazil	2017-Sep-15	A/Brazil/7153/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253191	PA	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253192	PB2	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253193	PB1	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253188	NP	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253189	NS	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253190	MP	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253194	NA	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1253195	HA	Brazil	2017-Aug-30	A/Brazil/4145/2017	Instituto Adolfo Lutz	Centers for Disease Control and Prevention	
EPI1252857	PB2	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252858	PB1	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252859	NA	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252860	HA	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252853	NP	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252854	NS	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252855	MP	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1252856	PA	Japan	2017-Oct-26	A/YOKOHAMA/148/2017	Yokohama City Institute of Public Health.	National Institute of Infectious Diseases (NIID)	"Kuwahara,Tomoko;Takashita,Emi;Fujisaki,Seiichiro;Shirakura,Masayuki;Watanabe,Shinji;Odagiri,Takato"
EPI1251072	PA	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251073	PB2	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251074	PB1	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251069	NP	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251070	NS	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251071	MP	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251075	NA	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251076	HA	United States	2017-Oct-21	A/Alaska/88/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251064	PA	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251065	PB2	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251066	PB1	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251061	NP	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251062	NS	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251063	MP	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251067	NA	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1251068	HA	United States	2017-Oct-31	A/Florida/119/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250864	NP	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250865	NS	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250866	MP	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250867	PA	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250868	PB2	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250869	PB1	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250870	NA	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1250871	HA	United States	2017-Oct-03	A/Alaska/84/2017	New York State Department of Health	Centers for Disease Control and Prevention	
EPI1254978	PB2	"Lao, People's Democratic Republic"	2017-Sep-12	A/Laos/3355/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
EPI1254979	PB1	"Lao, People's Democratic Republic"	2017-Sep-12	A/Laos/3355/2017	National Center for Laboratory and Epidemiology	Centers for Disease Control and Prevention	
